1 J083 TJ086 4 6 N AECD 5 0.001
5 EFFB P4B0
15 J027 RD019 4 6 S EDCC 4 0.001
1 CABA P0B1
2 DFBA P0B1
3 BBEB P0B1
4 EDCC P4B0
16 J050 IM015 4 6 S DCEA 4 0.000
1 ECED P2B1
2 CABB P0B2
3 ECDA P2B2
4 DCEA P4B0
17 J045 LS030 4 6 S DFAC 5 0.001
1 ABBA P0B1
2 ABEC P1B1
3 DDEB P1B0
4 DCAC P3B0
5 DFAC P4B0
18 J003 PB000 4 6 S CFAD 4 0.001
1 BAAD P2B0
2 EDEF P0B2
3 FCAD P2B2
4 CFAD P4B0
19 J000 IT051 4 6 S ABFC 5 0.000
1 BFDF P0B2
2 BCBB P0B2
3 DBCA P1B2
4 FBAC P2B2
5 ABFC P4B0
20 J021 OE005 4 6 S FDDA 5 0.000
1 EDBF P1B1
2 FFAE P1B1
3 EBAA P1B0
4 FDCA P3B0
5 FDDA P4B0
21 J083 TJ086 4 8 S GEBH 6 0.029
1 HBHG P0B3
2 HABA P1B1
3 GHBB P2B1
4 GCBH P3B0
5 GDBH P3B0
6 GEBH P4B0
22 J027 JM049 4 8 S BAFD 5 0.003
1 DFCD P1B1
2 ADCA P0B2
3 CFAB P0B3
4 FABD P2B2
5 BAFD P4B0
23 J086 TX026 4 8 S EBHG 8 0.006
1 EBDC P2B0
2 EADA P1B0
3 EBBB P2B0
4 DBDB P1B0
5 EBEE P2B0
6 EBFF P2B0
7 EBGG P3B0
8 EBHG P4B0
24 J036 RA093 4 8 S GBAE 6 0.003
1 GHED P1B1
2 BHAB P1B1
3 DHCA P0B1
4 GDBB P1B1
5 AGEB P0B4
6 GBAE P4B0
25 J067 EA041 4 8 S EAED 5 0.002
1 ECEC P2B0
2 HCFG P0B0
3 EAEA P3B0
4 EBEA P2B1
5 EAED P4B0
26 J059 KK025 4 8 S HHAD 4 0.002
1 FGAC P1B0
2 HDDA P1B2
3 DHAA P2B1
4 HHAD P4B0
27 J057 DB055 4 8 S BAEC 6 0.002
1 GGGA P0B1
2 FCBG P0B2
3 CAAB P1B2
4 ABCB P0B3
5 BDAC P2B1
6 BAEC P4B0
